boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.52963 37.525675 1348.4 4.3,maize,2021-10-28,2022-03-23,Kenya,Embu,2022-03-09,2.855,3.195,1.325,1.635,-0.52963,37.525675,1348.4,4.3
-0.51643 37.5085833 1325.6 3.9,maize,2021-10-21,2022-03-14,Kenya,Embu,2022-03-11,5.475,0.665,3.485,0.495,-0.51643,37.5085833,1325.6,3.9
-0.502102 37.5202403 1446.4 4.51,maize,2021-10-20,2022-03-24,Kenya,Embu,2022-03-11,7.835,5.255,4.365,2.935,-0.502102,37.5202403,1446.4,4.51
-0.515235 37.526965 1434.5 3.9,maize,2021-10-24,2022-03-12,Kenya,Embu,2022-03-11,0.605,4.585,0.175,2.025,-0.515235,37.526965,1434.5,3.9
-0.53261 37.5098967 1311.6 3.9,maize,2021-10-26,2022-03-01,Kenya,Embu,2022-03-11,3.715,7.275,2.455,4.715,-0.53261,37.5098967,1311.6,3.9
-0.5078099 37.508085 1458.1 4.3,maize,2021-10-21,2022-03-22,Kenya,Embu,2022-03-08,12.82,10.05,6.095,3.925,-0.5078099,37.508085,1458.1,4.3
-0.5291917 37.5067033 1305.8 3.9,maize,2021-10-23,2022-03-07,Kenya,Embu,2022-03-10,7.195,8.405,3.935,4.205,-0.5291917,37.5067033,1305.8,3.9
-0.5168516 37.5073279 1356.3 4.92,maize,2021-10-20,2022-03-18,Kenya,Embu,2022-03-08,5.395,7.865,3.385,4.905,-0.5168516,37.5073279,1356.3,4.92
-0.5067194 37.5300661 1424.8 3.9,maize,2021-11-01,2022-03-20,Kenya,Embu,2022-03-14,5.995,20.94,2.915,10.6,-0.5067194,37.5300661,1424.8,3.9
-0.4943636 37.4678696 1507.78 4.0,maize,2021-10-04,2022-02-27,Kenya,Embu,2022-03-01,3.545,5.425,1.77,2.035,-0.4943636,37.4678696,1507.78,4.0
-0.5236248 37.5212447 1404.0 4.8,maize,2021-10-20,2022-03-08,Kenya,Embu,2022-03-14,4.135,6.375,2.545,3.195,-0.5236248,37.5212447,1404.0,4.8
-0.5385704 37.5486564 1372.2 2.52,maize,2021-10-15,2022-03-21,Kenya,Embu,2022-03-16,8.585,11.83,5.145,7.765,-0.5385704,37.5486564,1372.2,2.52
-0.5288183 37.5137933 1309.8 4.5,maize,2021-10-23,2022-03-19,Kenya,Embu,2022-03-16,4.405,5.355,2.865,3.225,-0.5288183,37.5137933,1309.8,4.5
-0.5077933 37.5283432 1437.8 3.9,maize,2021-10-24,2022-03-29,Kenya,Embu,2022-03-14,0.905,4.485,0.455,2.525,-0.5077933,37.5283432,1437.8,3.9
-0.5059466 37.5065819 1482.7 3.32,maize,2021-10-21,2022-03-15,Kenya,Embu,2022-03-08,17.76,17.47,9.835,9.025,-0.5059466,37.5065819,1482.7,3.32
-0.5104361 37.508336 1433.4 4.94,maize,2021-10-19,2022-03-29,Kenya,Embu,2022-03-08,16.16,11.59,9.705,6.285,-0.5104361,37.508336,1433.4,4.94
-0.5000367 37.550985 1399.7 3.9,maize,2021-10-20,2022-03-14,Kenya,Embu,2022-03-10,12.83,10.12,7.875,6.145,-0.5000367,37.550985,1399.7,3.9
-0.4872694 37.5216902 1425.7 4.59,maize,2021-11-02,2022-03-15,Kenya,Embu,2022-03-10,7.605,10.14,4.205,6.605,-0.4872694,37.5216902,1425.7,4.59
-0.5180845 37.5037289 1404.7 4.9,maize,2021-10-19,2022-03-18,Kenya,Embu,2022-03-08,5.365,4.025,4.035,2.905,-0.5180845,37.5037289,1404.7,4.9
-0.4781685 37.4934648 1576.8 4.83,maize,2021-10-20,2022-03-20,Kenya,Embu,2022-02-28,15.15,26.72,11.67,15.71,-0.4781685,37.4934648,1576.8,4.83
-0.6084293 37.4739629 1204.8 3.26,maize,2021-10-21,2022-02-26,Kenya,Kirinyaga,2022-02-26,5.015,4.255,3.985,3.355,-0.6084293,37.4739629,1204.8,3.26
-0.6244684 37.2718985 1215.9 3.04,maize,2020-10-20,2022-03-28,Kenya,Kirinyaga,2022-03-01,5.175,4.475,3.715,2.835,-0.6244684,37.2718985,1215.9,3.04
-0.5545766 37.3773396 1460.9 4.4,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-02-28,8.655,10.37,4.855,7.325,-0.5545766,37.3773396,1460.9,4.4
-0.6078358 37.3605175 1226.2 3.9,maize,2021-10-09,2022-03-10,Kenya,Kirinyaga,2022-03-02,3.825,2.005,2.415,1.175,-0.6078358,37.3605175,1226.2,3.9
-0.6537351 37.2836944 1219.4 3.9,maize,2021-10-05,2022-03-09,Kenya,Kirinyaga,2022-03-01,4.58,4.85,2.005,1.995,-0.6537351,37.2836944,1219.4,3.9
-0.6068328 37.4683104 1205.69 3.55,maize,2021-10-21,2022-02-17,Kenya,Kirinyaga,2022-02-26,6.525,5.695,3.99,3.34,-0.6068328,37.4683104,1205.69,3.55
-0.5854416 37.350439 1272.5 3.9,maize,2021-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,7.545,9.175,4.395,5.765,-0.5854416,37.350439,1272.5,3.9
-0.6192777 37.3178379 1190.0 4.83,maize,2021-10-22,2022-02-28,Kenya,Kirinyaga,2022-03-01,2.055,1.855,1.595,1.175,-0.6192777,37.3178379,1190.0,4.83
-0.6085345 37.4739926 1200.59 2.27,maize,2021-10-22,2022-02-22,Kenya,Kirinyaga,2022-02-18,2.295,1.005,1.005,0.645,-0.6085345,37.4739926,1200.59,2.27
-0.6068317 37.4680667 1206.59 4.9,maize,2021-10-21,2022-03-21,Kenya,Kirinyaga,2022-03-21,8.27,6.305,6.195,4.215,-0.6068317,37.4680667,1206.59,4.9
