plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
95,37.32933,-0.60725,1190.5,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
96,37.551771,-0.4357408,1474.8,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
97,37.3906494,-0.5202334,1389.5,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
98,37.5521631,-0.4360668,1582.6,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
99,37.6476136,-0.4962485,1188,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
100,37.4429516,-0.7840175,1118.8,maize,10/25/2021,Short Rains,Kenya,Kirinyaga
101,37.4005017,-0.46428,1580.7,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
102,37.5419434,-0.3892489,1675.7,maize,10/25/2021,Short Rains,Kenya,Kirinyaga
103,37.5518398,-0.4357668,1465.1,maize,1/15/2022,Off Season,Kenya,Kirinyaga
104,37.3862024,-0.5159137,1448.5,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
105,37.5517782,-0.4356933,1475.9,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
106,37.3409611,-0.5591619,1322.2,maize,10/10/2021,Short Rains,Kenya,Kirinyaga
107,37.3840851,-0.5466632,1379.1,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
108,37.413275,-0.5508486,1383.6,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
109,37.5973497,-0.5027024,1288,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
110,37.4146917,-0.4730469,1572,maize,10/4/2021,Short Rains,Kenya,Kirinyaga
111,37.5516699,-0.4356616,1464.3,maize,10/18/2021,Short Rains,Kenya,Kirinyaga
112,37.4159467,-0.4733183,1594.1,maize,10/18/2020,Short Rains,Kenya,Kirinyaga
113,37.4156883,-0.4736283,1546.2,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
114,37.5517733,-0.43566,1470.7,maize,10/18/2021,Short Rains,Kenya,Kirinyaga
115,37.3977408,-0.4740074,1569,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
116,37.3598883,-0.5671177,1282.09,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
117,37.5516905,-0.4356711,1471.8,maize,10/18/2021,Short Rains,Kenya,Kirinyaga
118,37.3849924,-0.5106743,1474,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
119,37.5973135,-0.5026444,1248.39,maize,10/21/2021,Short Rains,Kenya,Kirinyaga
120,37.4069767,-0.50817,1459,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
121,37.5516656,-0.4357038,1468.3,maize,10/20/2021,Short Rains,Kenya,Kirinyaga
122,37.3972484,-0.4720044,1581,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
123,37.5516678,-0.4356483,1471.8,maize,10/15/2021,Short Rains,Kenya,Kirinyaga
124,37.3972368,-0.4722343,1579.8,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
125,37.4293558,-0.4790809,1559,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
126,37.5974835,-0.5025418,1251.39,maize,10/23/2021,Short Rains,Kenya,Kirinyaga
127,37.4022112,-0.5042465,1495.8,maize,10/28/2021,Short Rains,Kenya,Kirinyaga
128,37.414728,-0.4728214,1582.8,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
129,37.4131617,-0.550745,1385.6,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
130,37.3814089,-0.4818653,1630.7,maize,10/8/2021,Short Rains,Kenya,Kirinyaga
131,38.0535647,0.3141426,1015.8,maize,11/11/2021,Short Rains,Kenya,Meru
132,37.5968266,0.223977,1476.96,maize,10/28/2021,Short Rains,Kenya,Meru
133,37.7233435,0.2172494,1356.9,maize,10/28/2021,Short Rains,Kenya,Meru
134,37.7948783,0.1536317,1490.4,maize,10/13/2021,Short Rains,Kenya,Meru
135,37.8120652,0.0884789,1196.2,maize,10/24/2021,Short Rains,Kenya,Meru
136,38.0535774,0.3143454,1015.5,maize,10/11/2021,Short Rains,Kenya,Meru
137,37.6734472,0.0774264,1419.1,maize,10/15/2021,Short Rains,Kenya,Meru
138,37.7228801,0.136545,1483,maize,10/15/2021,Short Rains,Kenya,Meru
139,37.7884828,0.2195973,1460.3,maize,10/10/2020,Short Rains,Kenya,Meru
140,38.0568152,0.3495791,1068,maize,10/10/2021,Short Rains,Kenya,Meru
141,38.0597733,0.2815217,933.6,maize,11/13/2020,Short Rains,Kenya,Meru
142,38.0612259,0.2800851,925.5,maize,10/17/2021,Short Rains,Kenya,Meru
143,38.0622256,0.2788795,925.7,maize,10/22/2021,Short Rains,Kenya,Meru
144,38.055878,0.3216239,1021,maize,11/7/2021,Short Rains,Kenya,Meru
145,37.7288117,0.1183667,1373.7,maize,10/7/2020,Short Rains,Kenya,Meru
146,37.8713689,0.2849086,1693.6,maize,10/10/2021,Short Rains,Kenya,Meru
147,37.7270887,0.0346181,1260.9,maize,10/10/2021,Short Rains,Kenya,Meru
148,37.8243217,0.0488567,1153.3,maize,9/12/2021,Off Season,Kenya,Meru
149,38.0626627,0.2774064,933.7,maize,11/21/2020,Short Rains,Kenya,Meru
150,37.7277217,0.1179968,1402.8,maize,10/17/2021,Short Rains,Kenya,Meru
151,37.823185,0.048975,1133.8,maize,9/12/2021,Off Season,Kenya,Meru
152,38.0571685,0.3327147,1022.5,maize,11/10/2021,Short Rains,Kenya,Meru
153,38.0576937,0.335291,1041.4,maize,11/8/2021,Short Rains,Kenya,Meru
154,37.7948783,0.1536317,1490.4,maize,9/21/2021,Off Season,Kenya,Meru
155,37.7277432,0.1181052,1373.9,maize,10/10/2021,Short Rains,Kenya,Meru
156,38.0581104,0.2704544,920.3,maize,9/29/2021,Off Season,Kenya,Meru
157,37.6982663,0.0415787,1268.3,maize,10/20/2021,Short Rains,Kenya,Meru
158,38.0660694,0.2789571,913.2,maize,10/11/2021,Short Rains,Kenya,Meru
159,37.7051047,0.0618658,1252.8,maize,10/25/2021,Short Rains,Kenya,Meru
160,37.9157951,0.2933643,1814.1,maize,10/10/2021,Short Rains,Kenya,Meru
161,38.0580322,0.2704709,900.1,maize,11/5/2021,Short Rains,Kenya,Meru
162,38.0670875,0.2817143,907.4,maize,10/20/2021,Short Rains,Kenya,Meru
163,37.7231459,0.1363949,1426.6,maize,10/11/2021,Short Rains,Kenya,Meru
164,38.0642293,0.2777626,908.8,maize,10/23/2021,Short Rains,Kenya,Meru
165,38.0558585,0.3213716,1020.1,maize,10/20/2021,Short Rains,Kenya,Meru
166,37.7324483,0.179055,1373.3,maize,11/6/2021,Short Rains,Kenya,Meru
167,38.0663014,0.3273325,983,maize,10/10/2021,Short Rains,Kenya,Meru
168,37.705,0.0615033,1252.8,maize,10/10/2021,Short Rains,Kenya,Meru
169,37.8095522,0.0889239,1110.4,maize,10/20/2021,Short Rains,Kenya,Meru
170,37.7077817,0.0231539,1274.4,maize,10/20/2021,Short Rains,Kenya,Meru
171,38.0766334,0.2892001,999.7,maize,10/16/2021,Short Rains,Kenya,Meru
